program	os	interpreter	time
1	mac	python	0.00020694732666
1	mac	python	0.00019097328186
1	mac	python	0.000185966491699
1	mac	python	0.000187158584595
1	mac	python	0.000185966491699
1	mac	python	0.000235080718994
1	mac	python	0.000216960906982
1	mac	python	0.000760078430176
1	mac	python	0.000191926956177
1	mac	python	0.000169992446899
2	mac	python	6.91413879395e-06
2	mac	python	5.96046447754e-06
2	mac	python	5.96046447754e-06
2	mac	python	6.19888305664e-06
2	mac	python	5.96046447754e-06
2	mac	python	5.96046447754e-06
2	mac	python	5.96046447754e-06
2	mac	python	5.96046447754e-06
2	mac	python	5.96046447754e-06
2	mac	python	6.19888305664e-06
3	mac	python	0.0156810283661
3	mac	python	0.0161249637604
3	mac	python	0.0158751010895
3	mac	python	0.0156800746918
3	mac	python	0.0159540176392
3	mac	python	0.0158801078796
3	mac	python	0.0157310962677
3	mac	python	0.0158469676971
3	mac	python	0.0158369541168
3	mac	python	0.0159740447998
4	mac	python	0.408529043198
4	mac	python	0.407685995102
4	mac	python	0.410658836365
4	mac	python	0.408480882645
4	mac	python	0.394232034683
4	mac	python	0.402729034424
4	mac	python	0.397341966629
4	mac	python	0.397650003433
4	mac	python	0.409561157227
4	mac	python	0.399320840836
5	mac	python	1.4066696167e-05
5	mac	python	1.4066696167e-05
5	mac	python	1.4066696167e-05
5	mac	python	1.38282775879e-05
5	mac	python	1.31130218506e-05
5	mac	python	1.4066696167e-05
5	mac	python	1.4066696167e-05
5	mac	python	1.4066696167e-05
5	mac	python	1.38282775879e-05
5	mac	python	1.4066696167e-05
6	mac	python	2.19345092773e-05
6	mac	python	2.09808349609e-05
6	mac	python	2.09808349609e-05
6	mac	python	2.09808349609e-05
6	mac	python	2.09808349609e-05
6	mac	python	2.121925354e-05
6	mac	python	2.19345092773e-05
6	mac	python	2.09808349609e-05
6	mac	python	2.09808349609e-05
6	mac	python	2.09808349609e-05
7	mac	python	0.327877044678
7	mac	python	0.343296051025
7	mac	python	0.332883119583
7	mac	python	0.328261137009
7	mac	python	0.346785068512
7	mac	python	0.336577892303
7	mac	python	0.335078001022
7	mac	python	0.352066040039
7	mac	python	0.329273939133
